sub_clause_number_1,sub_clause_number_1_heading,clause_text
4.15,Access Route,"The Contractor shall be deemed to have been satisfied as to the suitability and availability of access routes to the Site. The Contractor shall use reasonable efforts to prevent any road or bridge from being damaged by the Contractor's traffic or by the Contractor's Personnel. These efforts shall include the proper use of appropriate vehicles and routes.
Except as otherwise stated in these Conditions:
(a) the Contractor shall (as between the Parties) be responsible for any maintenance which may be required for his use of access routes;
(b) the Contractor shall provide all necessary signs or directions along access routes, and shall obtain any permission which may be required from the relevant authorities for his use of routes, signs and directions;
(c) the Employer shall not be responsible for any claims which may arise from the use or otherwise of any access route,
(d) the Employer does not guarantee the suitability or availability of particular access routes, and
(e) Costs due to non-suitability or non-availability, for the use required by the Contractor, of access routes shall be borne by the Contractor."
4.16,Transport of Goods,"Unless otherwise stated in the Particular Conditions:
(a) the Contractor shall give the Engineer not less than 21 days' notice of the date on which any Plant or a major item of other Goods will be delivered to the Site; 
(b) the Contractor shall be responsible for packing, loading, transporting, receiving, unloading, storing and protecting all Goods and other things required for the Works; and
(c) the Contractor shall indemnify and hold the Employer harmless against and from all damages, losses and expenses (including legal fees and expenses) resulting from the transport of Goods, and shall negotiate and pay all claims arising from their transport."
4.17,Contractor s Equipment,"The Contractor shall be responsible for all Contractor's Equipment. When brought on to the Site, Contractor's Equipment shall be deemed to be exclusively intended for the execution of the Works. The Contractor shall not remove from the Site any major items of Contractor's Equipment without the consent of the Engineer. However, consent shall not be required for vehicles transporting Goods or Contractor's Personnel off Site."
4.18,Protection of the Environment,"The Contractor shall take all reasonable steps to protect the environment (both on and off the Site) and to limit damage and nuisance to people and property resulting from pollution, noise and other results of his operations.
The Contractor shall ensure that emissions, surface discharges and effluent from the Contractor's activities shall not exceed the values indicated in the Employer's Requirements, and shall not exceed the values prescribed by applicable Laws."
4.19,"Electricity, Water and Gas","The Contractor shall, except as stated below, be responsible for the provision of all
power, water and other services he may require.
The Contractor shall be entitled to use for the purposes of the Works such supplies
of electricity, water, gas and other services as may be available on the Site and of which details and prices are given in the Employer's Requirements. The Contractor shall, at his risk and cost, provide any apparatus necessary for his use of these services and for measuring the quantities consumed.
The quantities consumed and the amounts due (at these prices) for such services shall be agreed or determined by the Engineer in accordance with Sub-Clause 2.5 [Employer's Claims] and Sub-Clause 3.5 [Determinations]. The Contractor shall pay these amounts to the Employer."
4.20,Employer s Equipment and Free-Issue Material,"The Employer shall make the Employer's Equipment (if any) available for the use of the Contractor in the execution of the Works in accordance with the details, arrangements and prices stated in the Employer's Requirements. Unless otherwise stated in the Employer's Requirements:
(a) the Employer shall be responsible for the Employer's Equipment, except that
(b) the Contractor shall be responsible for each item of Employer's Equipment whilst any of the Contractor's Personnel is operating it, driving it, directing it or in possession or control of it.
The appropriate quantities and the amounts due (at such stated prices) for the use of Employer's Equipment shall be agreed or determined by the Engineer in accordance with Sub-Clause 2.5 [Employer's Claims] and Sub-Clause 3.5 [Determinations]. The Contractor shall pay these amounts to the Employer.
The Employer shall supply, free of charge, the ""free-issue materials"" (if any) in accordance with the details stated in the Employer's Requirements. The Employer shall, at his risk and cost, provide these materials at the time and place specified in the Contract. The Contractor shall then visually inspect them, and shall promptly give notice to the Engineer of any shortage, defect or default in these materials. Unless otherwise agreed by both Parties, the Employer shall immediately rectify the notified shortage, defect or default.
After this visual inspection, the free-issue materials shall come under the care, custody and control of the Contractor. The Contractor's obligations of inspection, care, custody and control shall not relieve the Employer of liability for any shortage, defect or default not apparent from a visual inspection."
4.21,Progress Reports,"Unless otherwise stated in the Particular Conditions, monthly progress reports shall be prepared by the Contractor and submitted to the Engineer in six copies. The first report shall cover the period up to the end of the first calendar month following the Commencement Date. Reports shall be submitted monthly thereafter, each within 7 days after the last day of the period to which it relates.
Reporting shall continue until the Contractor has completed all work which is known to be outstanding at the completion date stated in the Taking-Over Certificate for the Works.
Each report shall include: 
(a) charts and detailed descriptions of progress, including each stage of design, Contractor's Documents, procurement, manufacture, delivery to Site, construction, erection, testing, commissioning and trial operation;
(b) photographs showing the status of manufacture and of progress on the Site;
(c) for the manufacture of each main item of Plant and Materials, the name of the manufacturer, manufacture location, percentage progress, and the actual or expected dates of:
(i) commencement of manufacture,
(ii) Contractor's inspections,
(iii) tests, and
(iv) shipment and arrival at the Site;
(d) the details described in Sub-Clause 6.10 [Records of Contractor's Personnel and Equipment];
(e) copies of quality assurance documents, test results and certificates of Materials;
(f) list of Variations, notices given under Sub-Clause 2.5 [Employer's Claims] and notices given under Sub-Clause 20.1 [Contractor's Claims];
(g) safety statistics, including details of any hazardous incidents and activities relating to environmental aspects and public relations; and
(h) comparisons of actual and planned progress, with details of any events or circumstances which may jeopardise the completion in accordance with the Contract, and the measures being (or to be) adopted to overcome delays."
4.22,Security of the Site,"Unless otherwise stated in the Particular Conditions:
(a) the Contractor shall be responsible for keeping unauthorised persons off the Site, and
(b) authorised persons shall be limited to the Contractor's Personnel and the Employer's Personnel; and to any other personnel notified to the Contractor, by the Employer or the Engineer, as authorised personnel of the Employer's other contractors on the Site."
4.23,Contractor s Operations on Site,"The Contractor shall confine his operations to the Site, and to any additional areas which may be obtained by the Contractor and agreed by the Engineer as working areas. The Contractor shall take all necessary precautions to keep Contractor's Equipment and Contractor's Personnel within the Site and these additional areas, and to keep them off adjacent land.
During the execution of the Works, the Contractor shall keep the Site free from all unnecessary obstruction, and shall store or dispose of any Contractor's Equipment or surplus materials. The Contractor shall clear away and remove from the Site any wreckage, rubbish and Temporary Works which are no longer required.
Upon the issue of a Taking-Over Certificate, the Contractor shall clear away and remove, from that part of the Site and Works to which the Taking-Over Certificate refers, all Contractor's Equipment, surplus material, wreckage, rubbish and Temporary Works. The Contractor shall leave that part of the Site and the Works in a clean and
safe condition. However, the Contractor may retain on Site, during the Defects Notification Period, such Goods as are required for the Contractor to fulfil obligations under the Contract."
4.24,Fossils,"All fossils, coins, articles of value or antiquity, and structures and other remains or
items of geological or archaeological interest found on the Site shall be placed under
the care and authority of the Employer. The Contractor shall take reasonable
precautions to prevent Contractor's Personnel or other persons from removing or
damaging any of these findings.
The Contractor shall, upon discovery of any such finding, promptly give notice to the
Engineer, who shall issue instructions for dealing with it. If the Contractor suffers delay and/or incurs Cost from complying with the instructions, the Contractor shall give a further notice to the Engineer and shall be entitled subject to Sub-Clause 20.1 [Contractor's Claims] to:
(a) an extension of time for any such delay, if completion is or will be delayed, under Sub-Clause 8.4 [Extension of Time for Completion], and
(b) payment of any such Cost, which shall be included in the Contract Price. After receiving this further notice, the Engineer shall proceed in accordance with Sub- Clause 3.5 [Determinations] to agree or determine these matters."
5.1,General Design Obligations,"The Contractor shall carry out, and be responsible for, the design of the Works. Design shall be prepared by qualified designers who are engineers or other professionals who comply with the criteria (if any) stated in the Employer's Requirements. Unless otherwise stated in the Contract, the Contractor shall submit to the Engineer for consent the name and particulars of each proposed designer and design Subcontractor.
The Contractor warrants that he, his designers and design Subcontractors have the experience and capability necessary for the design. The Contractor undertakes that the designers shall be available to attend discussions with the Engineer at all reasonable times, until the expiry date of the relevant Defects Notification Period.
Upon receiving notice under Sub-Clause 8.1 [Commencement of Works], the Contractor shall scrutinise the Employer's Requirements (including design criteria and calculations, if any) and the items of reference mentioned in Sub-Clause 4.7 [Setting Out]. Within the period stated in the Appendix to Tender, calculated from the Commencement Date, the Contractor shall give notice to the Engineer of any error, fault or other defect found in the Employer's Requirements or these items of reference.
After receiving this notice, the Engineer shall determine whether Clause 13 [Variations and Adjustments] shall be applied, and shall give notice to the Contractor accordingly. If and to the extent that (taking account of cost and time) an experienced contractor exercising due care would have discovered the error, fault or other defect when examining the Site and the Employer's Requirements before submitting the Tender, the Time for Completion shall not be extended and the Contract Price shall not be adjusted."
5.2,Contractor's Documents,"The Contractor's Documents shall comprise the technical documents specified in the Employer's Requirements, documents required to satisfy all regulatory approvals, and the documents described in Sub-Clause 5.6 [As-Built Documents] and Sub-Clause 5.7 [Operation and Maintenance Manuals]. Unless otherwise stated in the Employer's
Requirements, the Contractor's Documents shall be written in the language for communications defined in Sub-Clause 1.4 [Law and Language].
The Contractor shall prepare all Contractor's Documents, and shall also prepare any other documents necessary to instruct the Contractor's Personnel. The Employer's Personnel shall have the right to inspect the preparation of all these documents, wherever they are being prepared.
If the Employer's Requirements describe the Contractor's Documents which are to be submitted to the Engineer for review and/or for approval, they shall be submitted accordingly, together with a notice as described below. In the following provisions of this Sub-Clause, (i) ""review period"" means the period required by the Engineer for review and (if so specified) for approval, and (ii) ""Contractor's Documents"" exclude any documents which are not specified as being required to be submitted for review and/or for approval.
Unless otherwise stated in the Employer's Requirements, each review period shall not exceed 21 days, calculated from the date on which the Engineer receives a Contractor's Document and the Contractor's notice. This notice shall state that the Contractor's Document is considered ready, both for review (and approval, if so specified) in accordance with this Sub-Clause and for use. The notice shall also state that the Contractor's Document complies with the Contract, or the extent to which it does not comply.
The Engineer may, within the review period, give notice to the Contractor that a Contractor's Document fails (to the extent stated) to comply with the Contract. If a Contractor's Document so fails to comply, it shall be rectified, resubmitted and reviewed (and, if specified, approved) in accordance with this Sub-Clause, at the
Contractor's cost.
For each part of the Works, and except to the extent that the prior approval or consent of the Engineer shall have been obtained:
(a) in the case of a Contractor's Document which has (as specified) been submitted for the Engineer's approval:
(i) the Engineer shall give notice to the Contractor that the Contractor's Document is approved, with or without comments, or that it fails (to the extent stated) to comply with the Contract;
(ii) execution of such part of the Works shall not commence until the Engineer has approved the Contractor's Document; and
(iii) the Engineer shall be deemed to have approved the Contractor's Document upon the expiry of the review periods for all the Contractor's Documents which are relevant to the design and execution of such part, unless the Engineer has previously notified otherwise in accordance with sub-paragraph (i);
(b) execution of such part of the Works shall not commence prior to the expiry of the review periods for all the Contractor's Documents which are relevant to its design and execution;
(c) execution of such part of the Works shall be in accordance with these reviewed (and, if specified, approved) Contractor's Documents; and
(d) if the Contractor wishes to modify any design or document which has previously been submitted for review (and, if specified, approval), the Contractor shall immediately give notice to the Engineer. Thereafter, the Contractor shall submit revised documents to the Engineer in accordance with the above procedure.
If the Engineer instructs that further Contractor's Documents are required, the Contractor shall prepare them promptly.
Any such approval or consent, or any review (under this Sub-Clause or otherwise), shall not relieve the Contractor from any obligation or responsibility"
5.3,Contractor's Undertaking,"The Contractor undertakes that the design, the Contractor's Documents, the execution and the completed Works will be in accordance with:
(a) the Laws in the Country, and
(b) the documents forming the Contract, as altered or modified by Variations."
5.4,Technical Standards and Regulations,"The design, the Contractor's Documents, the execution and the completed Works shall comply with the Country's technical standards, building, construction and environmental Laws, Laws applicable to the product being produced from the Works, and other standards specified in the Employer's Requirements, applicable to the Works, or defined by the applicable Laws.
All these Laws shall, in respect of the Works and each Section, be those prevailing when the Works or Section are taken over by the Employer under Clause 10 [Employer's Taking Over]. References in the Contract to published standards shall be understood to be references to the edition applicable on the Base Date, unless stated otherwise.
If changed or new applicable standards come into force in the Country after the Base Date, the Contractor shall give notice to the Engineer and (if appropriate) submit proposals for compliance. In the event that:
(a) the Engineer determines that compliance is required, and
(b) the proposals for compliance constitute a variation, then the Engineer shall initiate a Variation in accordance with Clause 13 [Variations and Adjustments]."
5.5,Training,"The Contractor shall carry out the training of Employer's Personnel in the operation and maintenance of the Works to the extent specified in the Employer's Requirements. If the Contract specifies training which is to be carried out before taking-over, the Works shall not be considered to be completed for the purposes of taking-over under Sub-Clause 10.1 [Taking Over of the Works and Sections] until this training has been completed."
5.6,As-Built Documents,"The Contractor shall prepare, and keep up-to-date, a complete set of ""as-built"" records of the execution of the Works, showing the exact as-built locations, sizes and details of the work as executed. These records shall be kept on the Site and shall be used exclusively for the purposes of this Sub-Clause. Two copies shall be supplied to the Engineer prior to the commencement of the Tests on Completion.
In addition, the Contractor shall supply to the Engineer as-built drawings of the Works, showing all Works as executed, and submit them to the Engineer for review under Sub-Clause 5.2 [Contractor's Documents]. The Contractor shall obtain the consent of the Engineer as to their size, the referencing system, and other relevant details.
Prior to the issue of any Taking-Over Certificate, the Contractor shall supply to the Engineer the specified numbers and types of copies of the relevant as-built drawings, in accordance with the Employer's Requirements. The Works shall not be considered to be completed for the purposes of taking-over under Sub-Clause 10.1 [Taking Over of the Works and Sections] until the Engineer has received these documents."
5.7,Operation and Maintenance Manuals,"Prior to commencement of the Tests on Completion, the Contractor shall supply to the Engineer provisional operation and maintenance manuals in sufficient detail for the Employer to operate, maintain, dismantle, reassemble, adjust and repair the Plant. 
The Works shall not be considered to be completed for the purposes of taking-over under Sub-Clause 10.1 [Taking Over of the Works and Sections] until the Engineer has received final operation and maintenance manuals in such detail, and any other manuals specified in the Employer's Requirements for these purposes."
5.8,Design Error,"If errors, omissions, ambiguities, inconsistencies, inadequacies or other defects are found in the Contractor's Documents, they and the Works shall be corrected at the Contractor's cost, notwithstanding any consent or approval under this Clause."
6.1,Engagement of Staff and Labour,"Except as otherwise stated in the Employer's Requirements, the Contractor shall make arrangements for the engagement of all staff and labour, local or otherwise, and for their payment, housing, feeding and transport."
6.2,Rates of Wages and Conditions of Labour,"The Contractor shall pay rates of wages, and observe conditions of labour, which are not lower than those established for the trade or industry where the work is carried out. If no established rates or conditions are applicable, the Contractor shall pay rates of wages and observe conditions which are not lower than the general level of wages and conditions observed locally by employers whose trade or industry is similar tothat of the Contractor."
6.3,Persons in the Service of Employer,"The Contractor shall not recruit, or attempt to recruit, staff and labour from amongst the Employer's Personnel."
6.4,Labour Laws,"The Contractor shall comply with all the relevant labour Laws applicable to the Contractor's Personnel, including Laws relating to their employment, health, safety, welfare, immigration and emigration, and shall allow them all their legal rights.
The Contractor shall require his employees to obey all applicable Laws, including those concerning safety at work."
6.5,Working Hours,"No work shall be carried out on the Site on locally recognised days of rest, or outside the normal working hours stated in the Appendix to Tender, unless:
(a) otherwise stated in the Contract,
(b) the Engineer gives consent, or
(c) the work is unavoidable, or necessary for the protection of life or property or for the safety of the Works, in which case the Contractor shall immediately advise the Engineer."
6.6,Facilities for Staff and Labour,"Except as otherwise stated in the Employer's Requirements, the Contractor shall provide and maintain all necessary accommodation and welfare facilities for the Contractor's Personnel. The Contractor shall also provide facilities for the Employer's Personnel as stated in the Employer's Requirements.
The Contractor shall not permit any of the Contractor's Personnel to maintain any temporary or permanent living quarters within the structures forming part of the Permanent Works."
6.7,Health and Safety,"The Contractor shall at all times take all reasonable precautions to maintain the health and safety of the Contractor's Personnel. In collaboration with local health authorities, the Contractor shall ensure that medical staff, first aid facilities, sick bay and ambulance service are available at all times at the Site and at any accommodation for Contractor's and Employer's Personnel, and that suitable arrangements are made for all necessary welfare and hygiene requirements and for the prevention of epidemics. 
The Contractor shall appoint an accident prevention officer at the Site, responsible for maintaining safety and protection against accidents. This person shall be qualified for this responsibility, and shall have the authority to issue instructions and take protective measures to prevent accidents. Throughout the execution of the Works, the Contractor shall provide whatever is required by this person to exercise this responsibility and authority.
The Contractor shall send, to the Engineer, details of any accident as soon as practicable after its occurrence. The Contractor shall maintain records and make reports concerning health, safety and welfare of persons, and damage to property, as the Engineer may reasonably require."
6.8,Contractor s Superintendence,"Throughout the design and execution of the Works, and as long thereafter as is necessary to fulfil the Contractor's obligations, the Contractor shall provide all necessary superintendence to plan, arrange, direct, manage, inspect and test the work.
Superintendence shall be given by a sufficient number of persons having adequate knowledge of the language for communications (defined in Sub-Clause 1.4 [Law and Language]) and of the operations to be carried out (including the methods andtechniques required, the hazards likely to be encountered and methods of preventingaccidents), for the satisfactory and safe execution of the Works."
6.9,Contractor s Personnel,"The Contractor's Personnel shall be appropriately qualified, skilled and experienced in their respective trades or occupations. The Engineer may require the Contractor to remove (or cause to be removed) any person employed on the Site or Works, including the Contractor's Representative if applicable, who:
(a) persists in any misconduct or lack of care,
(b) carries out duties incompetently or negligently,
(c) fails to conform with any provisions of the Contract, or
(d) persists in any conduct which is prejudicial to safety, health, or the protection of the environment.
If appropriate, the Contractor shall then appoint (or cause to be appointed) a suitable replacement person."
6.10,Records of Contractor s Personnel and Equipment,"The Contractor shall submit, to the Engineer, details showing the number of each class of Contractor's Personnel and of each type of Contractor's Equipment on the Site. Details shall be submitted each calendar month, in a form approved by the Engineer, until the Contractor has completed all work which is known to be outstanding at the completion date stated in the Taking-Over Certificate for the Works."
6.11,Disorderly Conduct,"The Contractor shall at all times take all reasonable precautions to prevent any unlawful, riotous or disorderly conduct by or amongst the Contractor's Personnel, and to preserve peace and protection of persons and property on and near the Site."
7.1,Manner of Execution,"The Contractor shall carry out the manufacture of Plant, the production and manufacture of Materials, and all other execution of the Works:
(a) in the manner (if any) specified in the Contract,
(b) in a proper workmanlike and careful manner, in accordance with recognised good practice, and
(c) with properly equipped facilities and non-hazardous Materials, except as otherwise specified in the Contract."
7.2,Samples,"The Contractor shall submit the following samples of Materials, and relevant information, to the Engineer for review in accordance with the procedures for Contractor's Documents described in Sub-Clause 5.2 [Contractor's Documents]:
(a) manufacturer's standard samples of Materials and samples specified in the Contract, all at the Contractor's cost, and
(b) additional samples instructed by the Engineer as a Variation.
Each sample shall be labelled as to origin and intended use in the Works."
7.3,Inspection,"The Employer's Personnel shall at all reasonable times:
(a) have full access to all parts of the Site and to all places from which natural Materials are being obtained, and
(b) during production, manufacture and construction (at the Site and elsewhere), be entitled to examine, inspect, measure and test the materials and workmanship, and to check the progress of manufacture of Plant and production and manufacture of Materials.
The Contractor shall give the Employer's Personnel full opportunity to carry out these activities, including providing access, facilities, permissions and safety equipment. No such activity shall relieve the Contractor from any obligation or responsibility.
The Contractor shall give notice to the Engineer whenever any work is ready and before it is covered up, put out of sight, or packaged for storage or transport. The Engineer shall then either carry out the examination, inspection, measurement or testing without unreasonable delay, or promptly give notice to the Contractor that the Engineer does not require to do so. If the Contractor fails to give the notice, he shall, if and when required by the Engineer, uncover the work and thereafter reinstate and make good, all at the Contractor's cost."
7.4,Testing,"This Sub-Clause shall apply to all tests specified in the Contract, other than the Tests after Completion (if any).
The Contractor shall provide all apparatus, assistance, documents and other information, electricity, equipment, fuel, consumables, instruments, labour, materials, and suitably qualified and experienced staff, as are necessary to carry out the specified tests efficiently. The Contractor shall agree, with the Engineer, the time and place for the specified testing of any Plant, Materials and other parts of the Works.
The Engineer may, under Clause 13 [Variations and Adjustments], vary the location or details of specified tests, or instruct the Contractor to carry out additional tests. If these varied or additional tests show that the tested Plant, Materials or workmanship is not in accordance with the Contract, the cost of carrying out this Variation shall be borne by the Contractor, notwithstanding other provisions of the Contract.
The Engineer shall give the Contractor not less than 24 hours' notice of the Engineer's intention to attend the tests. If the Engineer does not attend at the time and place agreed, the Contractor may proceed with the tests, unless otherwise instructed by the Engineer, and the tests shall then be deemed to have been made in the Engineer's presence.
If the Contractor suffers delay and/or incurs Cost from complying with these instructions or as a result of a delay for which the Employer is responsible, the Contractor shall give notice to the Engineer and shall be entitled subject to Sub- Clause 20.1 [Contractor's Claims] to:
a) an extension of time for any such delay, if completion is or will be delayed, under Sub-Clause 8.4 [Extension of Time for Completion], and
(b) payment of any such Cost plus reasonable profit, which shall be included in the Contract Price.
After receiving this notice, the Engineer shall proceed in accordance with Sub-Clause 3.5 [Determinations] to agree or determine these matters.
The Contractor shall promptly forward to the Engineer duly certified reports of the tests. When the specified tests have been passed, the Engineer shall endorse the Contractor's test certificate, or issue a certificate to him, to that effect. If the Engineer has not attended the tests, he shall be deemed to have accepted the readings as accurate."
7.5,Rejection,"If, as a result of an examination, inspection, measurement or testing, any Plant,
Materials, design or workmanship is found to be defective or otherwise not in accordance with the Contract, the Engineer may reject the Plant, Materials, design or workmanship by giving notice to the Contractor, with reasons. The Contractor shall then promptly make good the defect and ensure that the rejected item complies with the Contract.
If the Engineer requires this Plant, Materials, design or workmanship to be retested, the tests shall be repeated under the same terms and conditions. If the rejection and retesting cause the Employer to incur additional costs, the Contractor shall subject to Sub-Clause 2.5 [Employer's Claims] pay these costs to the Employer."
7.6,Remedial Work,"Notwithstanding any previous test or certification, the Engineer may instruct the Contractor to:
(a) remove from the Site and replace any Plant or Materials which is not in accordance with the Contract,
(b) remove and re-execute any other work which is not in accordance with the Contract, and
(c) execute any work which is urgently required for the safety of the Works, whether because of an accident, unforeseeable event or otherwise.
The Contractor shall comply with the instruction within a reasonable time, which shall be the time (if any) specified in the instruction, or immediately if urgency is specified under sub-paragraph (c).
If the Contractor fails to comply with the instruction, the Employer shall be entitled to employ and pay other persons to carry out the work. Except to the extent that the Contractor would have been entitled to payment for the work, the Contractor shall subject to Sub-Clause 2.5 [Employer's Claims] pay to the Employer all costs arising from this failure."
7.7,Ownership of Plant and Materials,"Each item of Plant and Materials shall, to the extent consistent with the Laws of the Country, become the property of the Employer at whichever is the earlier of the following times, free from liens and other encumbrances:
(a) when it is delivered to the Site;
(b) when the Contractor is entitled to payment of the value of the Plant and Materials under Sub-Clause 8.10 [Payment for Plant and Materials in Event of Suspension]."
7.8,Royalties,"Unless otherwise stated in the Employer's Requirements, the Contractor shall pay all royalties, rents and other payments for:
(a) natural Materials obtained from outside the Site, and
(b) the disposal of material from demolitions and excavations and of other surplus material (whether natural or man-made), except to the extent that disposal areas within the Site are specified in the Contract."
8.1,Commencement of Work,"The Engineer shall give the Contractor not less than 7 days' notice of the Commencement Date. Unless otherwise stated in the Particular Conditions, the Commencement Date shall be within 42 days after the Contractor receives the Letter of Acceptance.
The Contractor shall commence the design and execution of the Works as soon as is reasonably practicable after the Commencement Date, and shall then proceed with the Works with due expedition and without delay."
8.2,Time for Completion,"The Contractor shall complete the whole of the Works, and each Section (if any), within the Time for Completion for the Works or Section (as the case may be), including:
(a) achieving the passing of the Tests on Completion, and
(b) completing all work which is stated in the Contract as being required for the Works or Section to be considered to be completed for the purposes of takingover under Sub-Clause 10.1 [Taking Over of the Works and Sections]."
8.3,Programme,"The Contractor shall submit a detailed time programme to the Engineer within 28 days after receiving the notice under Sub-Clause 8.1 [Commencement of Works]. The Contractor shall also submit a revised programme whenever the previous programme is inconsistent with actual progress or with the Contractor's obligations. Each programme shall include:
(a) the order in which the Contractor intends to carry out the Works, including the anticipated timing of each stage of design, Contractor's Documents, procurement, manufacture, inspection, delivery to Site, construction, erection, testing, commissioning and trial operation,
(b) the periods for reviews under Sub-Clause 5.2 [Contractor's Documents] and for any other submissions, approvals and consents specified in the Employer's Requirements,
(c) the sequence and timing of inspections and tests specified in the Contract, and
(d) a supporting report which includes:
(i) a general description of the methods which the Contractor intends to adopt, and of the major stages, in the execution of the Works, and
(ii) details showing the Contractor's reasonable estimate of the number of each class of Contractor's Personnel and of each type of Contractor's Equipment, required on the Site for each major stage.
Unless the Engineer, within 21 days after receiving a programme, gives notice to the Contractor stating the extent to which it does not comply with the Contract, the Contractor shall proceed in accordance with the programme, subject to his other obligations under the Contract. The Employer's Personnel shall be entitled to rely upon the programme when planning their activities.
The Contractor shall promptly give notice to the Engineer of specific probable future events or circumstances which may adversely affect the work, increase the Contract Price or delay the execution of the Works. The Engineer may require the Contractor to submit an estimate of the anticipated effect of the future event or circumstances, and/or a proposal under Sub-Clause 13.3 [Variation Procedure].
If, at any time, the Engineer gives notice to the Contractor that a programme fails (to the extent stated) to comply with the Contract or to be consistent with actual progress and the Contractor's stated intentions, the Contractor shall submit a revised programme to the Engineer in accordance with this Sub-Clause"
8.4,Extension of Time for Completion,"The Contractor shall be entitled subject to Sub-Clause 20.1 [Contractor's Claims] to an extension of the Time for Completion if and to the extent that completion for the purposes of Sub-Clause 10.1 [Taking Over of the Works and Sections] is or will be delayed by any of the following causes:
(a) a Variation (unless an adjustment to the Time for Completion has been agreed under Sub-Clause 13.3 [Variation Procedure]),
(b) a cause of delay giving an entitlement to extension of time under a Sub-Clause of these Conditions,
(c) exceptionally adverse climatic conditions,
(d) Unforeseeable shortages in the availability of personnel or Goods caused by epidemic or governmental actions, or
(e) any delay, impediment or prevention caused by or attributable to the Employer, the Employer's Personnel, or the Employer's other contractors on the Site.
If the Contractor considers himself to be entitled to an extension of the Time for Completion, the Contractor shall give notice to the Engineer in accordance with Sub-Clause 20.1 [Contractor's Claims]. When determining each extension of time under Sub-Clause 20.1, the Engineer shall review previous determinations and may increase, but shall not decrease, the total extension of time."
8.5,Delays Caused by Authorities,"If the following conditions apply, namely:
(a) the Contractor has diligently followed the procedures laid down by the relevant legally constituted public authorities in the Country,
(b) these authorities delay or disrupt the Contractor's work, and
(c) the delay or disruption was Unforeseeable,
then this delay or disruption will be considered as a cause of delay under subparagraph (b) of Sub-Clause 8.4 [Extension of Time for Completion]."
8.6,Rate of Progress,"If, at any time:
(a) actual progress is too slow to complete within the Time for Completion, and/or
(b) progress has fallen (or will fall) behind the current programme under Sub-Clause 8.3 [Programme],
other than as a result of a cause listed in Sub-Clause 8.4 [Extension of Time for Completion], then the Engineer may instruct the Contractor to submit, under Sub-Clause 8.3 [Programme], a revised programme and supporting report describing the revised methods which the Contractor proposes to adopt in order to expedite progress and complete within the Time for Completion.
Unless the Engineer notifies otherwise, the Contractor shall adopt these revised methods, which may require increases in the working hours and/or in the numbers of Contractor's Personnel and/or Goods, at the risk and cost of the Contractor. If these revised methods cause the Employer to incur additional costs, the Contractor shall subject to Sub-Clause 2.5 [Employer's Claims] pay these costs to the Employer, in addition to delay damages (if any) under Sub-Clause 8.7 below."
8.7,Delay Damages,"If the Contractor fails to comply with Sub-Clause 8.2 [Time for Completion], the Contractor shall subject to Sub-Clause 2.5 [Employer's Claims] pay delay damages to the Employer for this default. These delay damages shall be the sum stated in the Appendix to Tender, which shall be paid for every day which shall elapse between the relevant Time for Completion and the date stated in the Taking-Over Certificate. However, the total amount due under this Sub-Clause shall not exceed the maximum amount of delay damages (if any) stated in the Appendix to Tender.
These delay damages shall be the only damages due from the Contractor for such default, other than in the event of termination under Sub-Clause 15.2 [Termination by Employer] prior to completion of the Works. These damages shall not relieve the Contractor from his obligation to complete the Works, or from any other duties, obligations or responsibilities which he may have under the Contract."
8.8,Suspension of Work,"The Engineer may at any time instruct the Contractor to suspend progress of part or all of the Works. During such suspension, the Contractor shall protect, store and secure such part or the Works against any deterioration, loss or damage.
The Engineer may also notify the cause for the suspension. If and to the extent that the cause is notified and is the responsibility of the Contractor, the following Sub-Clauses 8.9, 8.10 and 8.11 shall not apply."
8.9,Consequences of Suspension,"If the Contractor suffers delay and/or incurs Cost from complying with the Engineer's instructions under Sub-Clause 8.8 [Suspension of Work] and/or from resuming the work, the Contractor shall give notice to the Engineer and shall be entitled subject to Sub-Clause 20.1 [Contractor's Claims] to:
(a) an extension of time for any such delay, if completion is or will be delayed, under Sub-Clause 8.4 [Extension of Time for Completion], and
(b) payment of any such Cost, which shall be included in the Contract Price. 
After receiving this notice, the Engineer shall proceed in accordance with Sub-Clause 3.5 [Determinations] to agree or determine these matters.
The Contractor shall not be entitled to an extension of time for, or to payment of the Cost incurred in, making good the consequences of the Contractor's faulty design, workmanship or materials, or of the Contractor's failure to protect, store or secure in accordance with Sub-Clause 8.8 [Suspension of Work]."
8.10,Payment for Plant and Materials in Event of Suspension,"The Contractor shall be entitled to payment of the value (as at the date of suspension) of Plant and/or Materials which have not been delivered to Site, if:
(a) the work on Plant or delivery of Plant and/or Materials has been suspended for more than 28 days, and
(b) the Contractor has marked the Plant and/or Materials as the Employer's property in accordance with the Engineer's instructions."
8.11,Prolonged Suspension,"If the suspension under Sub-Clause 8.8 [Suspension of Work] has continued for more than 84 days, the Contractor may request the Engineer's permission to proceed. If the Engineer does not give permission within 28 days after being requested to do so, the Contractor may, by giving notice to the Engineer, treat the suspension as an omission under Clause 13 [Variations and Adjustments] of the affected part of the Works. If the suspension affects the whole of the Works, the Contractor may give notice of termination under Sub-Clause 16.2 [Termination by Contractor]."
